title,url,author,publisher,year,doi,partner,deliverable,demo
IFC Whisperer: Querying Building Information Models with Large Language Models and IFC-based Knowledge Graphs,https://doi.org/10.1088/1742-6596/3140/16/162007 ,"Yu Hsiu Tung, Samaneh Rezvani, Fatemeh Asgharzadeh, Maurijn Neumann and Timo Hartmann",IOP Publishing - Journal of Physics: Conference Series (JPCS),2025,10.1088/1742-6596/3140/16/162007,,,
From vision to action: An integrative approach for circular adaptive reuse,https://doi.org/10.5281/zenodo.17691389,"van Laar, B.R.; Hamida, M.B.; Greco, A.","Real Estate Research Quarterly, (Delft University of Technology)",2025,10.5281/zenodo.17691389,,,
Strategic decision-making in uncertainty: Integrating forward-looking scenario planning and multi-criteria analysis for adaptive reuse projects,https://doi.org/10.52202/080684-0007,"Brian van Laar , Angela Greco , Hilde Remøy , and Vincent Gruis ",Proceedings of the Circular Building Sector Conference 2025,2025,10.52202/080684-0007,,,
Application of AI for Material Optimization in Construction - Anwendung von KI für die Materialoptimierung im Bauwesen,https://doi.org/10.26272/opus4-61338 ,"Sarah Munsch , Tim Klewe, Katrin Schumacher , Melissa Telong , Lili Grobla  , Christoph
Völker , Kaleb Yared, Sabine Kruschwitz ",11th Annual Meeting of the DAfStb with the 63rd Research Colloquium of BAM,2025,10.26272/opus4-61338,,,
Streamlining BIM-Based Procurement for a Circular Economy: Aligning Design Specifications with Reclaimed Building Components,https://doi.org/10.35490/EC3.2025.275 ,"Jorg Theunissen, Begum Aktas, and Timo Hartmann",European Council on Computing in Construction,2025,10.35490/EC3.2025.275,,,
Optimizing Disassembly Planning for Aluminium-Framed Windows through Automation and Collision Analysis,https://doi.org/10.17868/strath.00089311,"Begum Aktas, Timo Hartmann",Conference Proceedings University of Strathclyde Publishing,2025,10.17868/strath.00089311,,,
Robotic Disassembly and Window Upgrading,https://doi.org/10.15480/882.13535,Begum Aktas and Mehrzad Esmaeili Charkhab,"35 Forum Bauinformatik, Hamburg, 2024, TUHH Open Research",2025,10.15480/882.13535,,,
Beyond Corrosion: Autonomous Real-Time Detection of Structural Cracks and Degradation Using Robotic Sensing and Digital Twins,https://doi.org/10.58286/31663 ,"Ghezal Ahmad Jan ZIA, Cemal HEKIM  , Sabine KRUSCHWITZ",e-Journal of Nondestructive Testing - ISSN 1435-4934 - www.ndt.net,2025,10.58286/31663,,,
BIM-aided concrete quantities estimation and GWP optimisation,https://doi.org/10.15199/33.2025.08.12," Agata Marta Muchla, Alicja Brachaczek-Jokel, Jorge Camilo Diaz Garcia,Tomasz Piotrowski,Piotr Dymarski, Marek Dmochowski",Materia?y Budowlane,2025,10.15199/33.2025.08.12,,,
Towards desirable futures for the circular adaptive reuse of buildings: A participatory approach,https://doi.org/10.1016/j.scs.2025.106259,"Brian van Laar , Angela Greco , Hilde Remøy , Vincent Gruis , Mohammad B. Hamida",Sustainable Cities and Society (Elsevier),2025,10.1016/j.scs.2025.106259,,,
Leveraging AI to Create a Circular Built Environment,https://doi.org/10.5281/zenodo.14417214,"Brian van Laar , Angela Greco , Hilde Remøy , Vincent Gruis , Mohammad B. Hamida","AMPLIFY (VOL. 37, NO. 11)",2024,10.5281/zenodo.14417214,,,
Accelerating circularity systemically: three directions for impactful research,https://doi.org/10.1038/s42949-024-00183-8,"Angela Greco, Brian van Laar, Hilde Remøy & Vincent Gruis ","npj Urban Sustainability volume 4, Article number: 45 (2024)",2024,10.1038/s42949-024-00183-8,,,
